recommendation_id,game_id,title,recommended_on,recommendation_type,fit_estimate,status,reason,user_feedback,next_action
R001,final_fantasy_vii_remake,Final Fantasy VII Remake,2026-03-30,new_recommendation,5,open,"Liked FFVII original and wants modern action combat with strong story and aesthetics.",,Check platform path before prioritizing.
R002,final_fantasy_vii_rebirth,Final Fantasy VII Rebirth,2026-03-30,new_recommendation,5,open,"Liked FFVII original and wants emotionally strong character arcs with modern combat.",,Treat as a follow-up after Remake if access is possible.
R003,nier_automata,NieR: Automata,2026-03-30,revisit,4,open,"Fits tragic and emotionally complex storytelling if the early confusion barrier is acceptable.","User already started it and paused early.",Reassess after a guided re-entry recommendation.
R004,tales_of_arise,Tales of Arise,2026-03-30,new_recommendation,4,open,"Action JRPG with clear progression and relatively fast engagement.",,Use when prioritizing clarity and accessibility.
R005,stranger_of_paradise_ff_origin,Stranger of Paradise: Final Fantasy Origin,2026-03-30,conditional_recommendation,3,open,"Could fit if combat engagement matters more than narrative polish.",,Recommend only if a gameplay-first mood is explicit.
R006,neo_the_world_ends_with_you,NEO: The World Ends with You,2026-03-30,new_recommendation,5,completed_or_watched,"Very strong fit based on love for the original TWEWY, stylish presentation, party combat, Shibuya identity, and faster modern action flow.","Played a lot and liked it, but it felt repetitive at times and the user is not fully sure whether the ending was played or watched.",No further action needed.
R007,persona_5_royal,Persona 5 Royal,2026-03-30,new_recommendation,5,backlog,"Strong fit for style, party bonds, progression, world identity, and emotional turns, with some pacing risk due length.","Owned and started, but the opening felt slow.",Recommend only when in the mood for a slower burn.
R008,metaphor_refantazio,Metaphor: ReFantazio,2026-03-30,new_recommendation,5,open,"High fit for fantasy worldbuilding, bonds, buildcraft, class systems, and political stakes.",,Prioritize on Series S.
R009,clair_obscur_expedition_33,Clair Obscur: Expedition 33,2026-03-30,new_recommendation,5,dropped_then_watched,"High fit for tragic tone, party bonds, strong art direction, and satisfying reactive combat/build systems.","Lowered difficulty to easy, liked the atmosphere and gameplay somewhat, but quit on a Renoir fight and watched the rest.",Do not prioritize similar difficulty-spike RPGs without checking accessibility first.
R010,thirteen_sentinels_aegis_rim,13 Sentinels: Aegis Rim,2026-03-30,new_recommendation,4,completed,"High fit for branching-feeling mystery, major story reframes, and strong emotional payoff, though the combat style is more specialized.","Completed and liked a lot for concept, story, mystery, and gameplay structure.",No further action needed.
R011,unicorn_overlord,Unicorn Overlord,2026-03-30,new_recommendation,4,on_hold,"Likely fit for tactical progression, worldbuilding, and strong art direction, but with some risk if the emotional anchor feels too light.","Played a lot, but it became repetitive and is now on hold.",Revisit only if in the mood for more systems-first tactical play.
R012,scarlet_nexus,Scarlet Nexus,2026-03-30,conditional_recommendation,4,open,"Could fit if the goal is fast stylish combat, bond episodes, and strong audiovisual identity over deeper political worldbuilding.",,Use when prioritizing action and momentum on Series S.
R013,xenoblade_chronicles_3,Xenoblade Chronicles 3,2026-03-30,new_recommendation,5,open,"Very strong fit for tragic group dynamics, emotional payoff, class/build systems, and long-form party bonding.",,Prioritize on Switch if you want a big commitment with strong emotional arc.
R014,fire_emblem_three_houses,Fire Emblem: Three Houses,2026-03-30,new_recommendation,4,completed,"Strong fit for route-based character attachment, political conflict, and tactical progression, with some pacing risk in academy sections.","Completed one route, invested many hours, and watched the other routes.",No further action needed.
R015,triangle_strategy,TRIANGLE STRATEGY,2026-03-30,conditional_recommendation,4,completed,"Strong fit for political stakes and meaningful decisions, but with real risk from slower early pacing.","Completed and loved it without complaints.",No further action needed.
R016,ys_viii_lacrimosa_of_dana,Ys VIII: Lacrimosa of DANA,2026-03-30,new_recommendation,5,open,"Strong fit for action momentum, party journey, satisfying progression, and emotional payoff.",,Prioritize on Switch if you want something faster than a typical long JRPG.
R017,ni_no_kuni_ii_revenant_kingdom,Ni no Kuni II: Revenant Kingdom,2026-03-30,conditional_recommendation,4,backlog,"Reasonable fit if you want more Ni no Kuni world and smoother action, but it may land weaker than the first on emotional depth.","Owned/in backlog, but paused for unclear reasons.",Revisit only when in the mood for a lighter action JRPG.
R018,octopath_traveler_ii,OCTOPATH TRAVELER II,2026-03-30,conditional_recommendation,3,open,"Good fit for systems and presentation, but more fragmented storytelling makes it a risk versus your stronger preference for cast cohesion.",,Recommend only if combat systems and HD-2D presentation are the main draw.
R019,persona_3_reload,Persona 3 Reload,2026-03-30,new_recommendation,4,open,"Likely fit for style, bonds, emotional payoff, and mystery, but it carries the same slow-start risk already visible with Persona 5 Royal.",,Prioritize on Series S only if you want a slower burn with strong payoff.
R020,yakuza_like_a_dragon,Yakuza: Like a Dragon,2026-03-30,new_recommendation,5,on_hold,"Very strong fit for party bonds, dramatic turns, strong progression systems, and a lovable underdog cast, with enough emotional anchor to offset its side content sprawl.","Started it, but it is still pending.","Revisit when in the mood for a longer party RPG with strong story and progression."
R021,like_a_dragon_infinite_wealth,Like a Dragon: Infinite Wealth,2026-03-30,conditional_recommendation,5,open,"Potentially excellent fit for emotional payoff and party dynamics, but it should come after Yakuza: Like a Dragon for full impact.",,Recommend only after finishing Yakuza: Like a Dragon.
