progress_id,entry_id,collection_id,series,title,mapped_game_id,user_status,user_bucket,notes
UFP001,FFM007,final_fantasy_master,Final Fantasy,Final Fantasy VII,final_fantasy_vii_original,completed,played,"One of the clearest positive anchors in the whole project."
UFP002,FFM010,final_fantasy_master,Final Fantasy,Final Fantasy IX,final_fantasy_ix,on_hold,resume,"Already in progress historically and worth revisiting."
UFP003,FFM011,final_fantasy_master,Final Fantasy,Final Fantasy X,final_fantasy_x,bounced,caution,"Important negative signal inside a saga you otherwise like a lot."
UFP004,FFM015,final_fantasy_master,Final Fantasy,Final Fantasy Crystal Chronicles,final_fantasy_crystal_chronicles,dropped_then_watched,caution,"Atmosphere landed more than the loop."
UFP005,FFM019,final_fantasy_master,Final Fantasy,Final Fantasy XII,final_fantasy_xii,completed,played,"One of your strongest system-heavy franchise fits."
UFP006,FFM026,final_fantasy_master,Final Fantasy,Crisis Core: Final Fantasy VII,crisis_core_final_fantasy_vii,completed,played,"Very strong PSP-era fit around combat, materia, and story."
UFP007,FFM031,final_fantasy_master,Final Fantasy,Dissidia Final Fantasy,dissidia_final_fantasy,completed,played,"Positive overall with some repetition risk."
UFP008,FFM034,final_fantasy_master,Final Fantasy,Final Fantasy XIII,final_fantasy_xiii,completed,played,"Important evidence that linearity alone does not hurt fit."
UFP009,FFM039,final_fantasy_master,Final Fantasy,Final Fantasy XIII-2,final_fantasy_xiii_2,completed,played,"Solid continuation with maintained interest."
UFP010,FFM046,final_fantasy_master,Final Fantasy,Lightning Returns: Final Fantasy XIII,lightning_returns_final_fantasy_xiii,interested_not_started,next,"Natural follow-up because the previous two landed."
UFP011,FFM057,final_fantasy_master,Final Fantasy,Final Fantasy XV,final_fantasy_xv,completed,played,"Mixed but still meaningful because of lore, road-trip tone, and characters."
UFP012,FFM069,final_fantasy_master,Final Fantasy,Final Fantasy VII Remake,final_fantasy_vii_remake,catalog_only,next,"High-probability fit based on your FFVII and action-JRPG signals."
UFP013,FFM071,final_fantasy_master,Final Fantasy,Final Fantasy VII Remake Intergrade,final_fantasy_vii_remake_intergrade,catalog_only,next,"The practical modern version to prioritize on your current hardware."
UFP014,FFM073,final_fantasy_master,Final Fantasy,Stranger of Paradise: Final Fantasy Origin,stranger_of_paradise_ff_origin,catalog_only,optional,"Likely fun but lower narrative fit than your strongest FF picks."
UFP015,FFM076,final_fantasy_master,Final Fantasy,Final Fantasy XVI,final_fantasy_xvi,catalog_only,next,"High-probability fit for mood, momentum, and tragic tone."
UFP016,FFM078,final_fantasy_master,Final Fantasy,Final Fantasy VII Rebirth,final_fantasy_vii_rebirth,catalog_only,next,"Very high-interest continuation if Remake lands."
UFP017,REM017,resident_evil_master,Resident Evil,Resident Evil 4,resident_evil_4,completed,played,"Very strong action-horror fit."
