preference_id,category,key,value,weight,confidence,evidence,last_updated
P001,profile,core_taste,story_rich_jrpg_action_rpg,5,high,"User likes FFVII original and the aesthetic of FFXV.",2026-03-30
P002,story,priority,strong_story,5,high,"Historia fuerte was selected as a top priority.",2026-03-30
P003,progression,priority,clear_progression,5,high,"Progresion clara was selected as a top priority.",2026-03-30
P004,pacing,priority,fast_engagement,5,high,"User wants to get hooked relatively fast.",2026-03-30
P005,aesthetic,priority,jrpg_action_rpg_style,5,high,"User prefers JRPG or action RPG vibes.",2026-03-30
P006,story,likes,tragic_personal_stories,5,high,"Episode Ignis and Episode Ardyn resonated strongly.",2026-03-30
P007,story,likes,lore_heavy_worlds,4,high,"User asks for lore, universe details, and expanded material.",2026-03-30
P008,story,likes,morally_complex_villains,5,high,"Ardyn resonated strongly.",2026-03-30
P009,gameplay,likes,engaging_action_combat,5,high,"User wants action combat more engaging than FFXV.",2026-03-30
P010,gameplay,avoid,shallow_combat,5,high,"FFXV combat felt simple or lineal.",2026-03-30
P011,gameplay,avoid,repetitive_endgame,5,high,"Hunts and repetitive endgame are not appealing.",2026-03-30
P012,pacing,avoid,slow_menu_heavy_pacing,4,medium,"Final Fantasy X did not appeal.",2026-03-30
P013,story,tolerance,narrative_weirdness_if_gameplay_good,3,medium,"User can accept some weirdness if the gameplay is worth it.",2026-03-30
P014,platform,available,xbox_series_s,5,high,"User stated it.",2026-03-30
P015,platform,available,nintendo_switch_1,5,high,"User stated it.",2026-03-30
P016,platform,available,macbook_air_m4,5,high,"User stated it.",2026-03-30
P017,platform,available,gba,5,high,"User stated it.",2026-03-30
P037,platform,available,ds,5,high,"User stated it.",2026-03-30
P038,platform,available,3ds,5,high,"User stated it.",2026-03-30
P039,platform,available,psp,5,high,"User stated it.",2026-03-30
P040,platform,available,ps1,5,high,"User stated it.",2026-03-30
P018,gameplay,tolerance,tactical_or_turn_based_if_payoff_is_high,4,high,"The World Ends With You and The Banner Saga Trilogy both landed despite not being straightforward action RPG comfort picks.",2026-03-30
P019,gameplay,avoid,grind_or_resource_friction,5,high,"User used cheats in The Banner Saga Trilogy to avoid money grind and explicitly dislikes repetitive endgame loops.",2026-03-30
P020,aesthetic,likes,strong_art_direction_and_music_identity,5,high,"TWEWY, Banner Saga, FFVII, and FFXV all point to strong sensitivity to style and soundtrack identity.",2026-03-30
P021,story,likes,companion_journey_and_bonding,5,high,"ICO's accompanied journey, FFXV's road-group dynamic, and Banner Saga's caravan framing all point to valuing relational travel stories.",2026-03-30
P022,story,likes,strong_ending_payoff,5,high,"ICO's ending and other liked games suggest the emotional landing matters a lot, even when the path has friction.",2026-03-30
P023,gameplay,avoid,guide_heavy_or_opaque_progression,4,high,"ICO required heavy guide use and NieR: Automata was paused early because the opening was hard to understand.",2026-03-30
P024,aesthetic,tolerance,can_accept_clunky_gameplay_if_the_game_feels_unique,4,high,"ICO was liked a lot despite unoptimized gameplay because its concept and overall feel were distinct.",2026-03-30
P025,tone,likes,humor_when_it_keeps_the_pacing_lively,3,medium,"Daxter and Portal 2 both landed partly because humor helped the experience stay engaging.",2026-03-30
