game_id,title,series,primary_genre,combat_style,story_strength,progression_clarity,early_hook,aesthetic_fit,emotional_complexity,combat_depth,endgame_repetition_risk,pacing_speed,notes
thirteen_sentinels_aegis_rim,13 Sentinels: Aegis Rim,13 Sentinels,adventure_strategy,story_adventure_with_rts_defense,high,medium,high,high,high,medium,low,medium,"A mystery-heavy sci-fi narrative with intertwined character arcs, major reveals, and stylish presentation."
shibuya_scramble_428,428: Shibuya Scramble,428: Shibuya Scramble,visual_novel,live_action_branching_story,high,high,high,high,high,low,low,fast,A live-action mystery visual novel with excellent momentum and intersecting storylines.
zero_escape_999,"999: Nine Hours, Nine Persons, Nine Doors",Zero Escape,visual_novel_escape,escape_room_visual_novel,high,medium,high,high,high,low,medium,fast,"A branching mystery with escape-room gameplay, high tension, and very strong narrative reveals."
a_plague_tale_innocence,A Plague Tale: Innocence,A Plague Tale,action_adventure,stealth_action_adventure,high,high,high,high,high,medium,low,fast,A focused narrative stealth-adventure with strong atmosphere and clear story propulsion.
a_plague_tale_requiem,A Plague Tale: Requiem,A Plague Tale,action_adventure,stealth_action_adventure,high,high,high,high,high,medium,low,fast,"A dark narrative campaign with strong emotional stakes, stealth-action progression, and cinematic focus."
advance_wars_1_and_2,Advance Wars 1 and 2,Advance Wars,tactical_strategy,turn_based_grid_tactics,low,high,high,medium,low,high,medium,fast,"Readable tactical campaigns with excellent mechanical clarity, but a lighter emotional hook than narrative-heavy tactics RPGs."
advance_wars_1_2_re_boot_camp,Advance Wars: 1+2 Re-Boot Camp,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/6Ugtez/advance-wars-1-2-re-boot-camp.
ai_the_somnium_files_nirvana_initiative,AI: The Somnium Files - nirvanA Initiative,AI: The Somnium Files,adventure_investigation,investigation_and_psync_puzzles,high,medium,high,high,high,low,medium,fast,"A mystery adventure sequel with strong twists, stylish presentation, and puzzle-investigation structure."
alan_wake_2,Alan Wake 2,Alan Wake,survival_horror,third_person_survival_horror,high,medium,medium,high,high,medium,low,medium,"A narrative-heavy horror thriller with strong atmosphere and mystery, but slower and more investigative than pure action-horror."
alan_wake_s_american_nightmare,Alan Wake's American Nightmare,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/OS5N7e/alan-wakes-american-nightmare.
alien_isolation,Alien: Isolation,Alien,survival_horror,stealth_survival_horror,high,medium,medium,high,high,medium,medium,slow,"An excellent atmospheric horror game with strong tension, but a notably long and drawn-out structure."
assassin_s_creed_origins,Assassin's Creed® Origins,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/0OFLRX/assassins-creed-r-origins.
astral_chain,Astral Chain,Astral Chain,action_adventure,stylish_action_dual_character,medium,medium,high,high,medium,high,medium,medium,"A stylish action game with strong visual identity and setpieces, but a cooler emotional temperature and a more system-driven loop."
astria_ascending,Astria Ascending,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/Gzeof5/astria-ascending.
axiom_verge,Axiom Verge,Axiom Verge,metroidvania,action_platforming_metroidvania,medium,high,high,high,medium,high,low,fast,A retro-heavy metroidvania with strong exploration and ability gating.
axiom_verge_2,Axiom Verge 2,Axiom Verge,metroidvania,exploration_metroidvania,medium,medium,medium,high,medium,medium,low,medium,A more exploration-focused sequel with less combat urgency and a more diffuse structure.
balatro,Balatro,Balatro,roguelite_card_game,deckbuilding_score_attack,low,high,high,medium,low,high,high,fast,"A deeply replayable card roguelite driven by runs, combo discovery, and score chase rather than narrative."
bastion,Bastion,Supergiant,action_rpg,isometric_action,medium,high,high,high,medium,medium,low,fast,"A stylish action game with strong narration, atmosphere, and satisfying compact progression."
baten_kaitos_i_and_ii,Baten Kaitos I and II,Baten Kaitos,jrpg,card_based_turn_command,high,medium,medium,high,high,medium,medium,slow,"Atmospheric card-based JRPGs with strong worldbuilding and lore, but a slower combat texture and momentum profile."
baten_kaitos_origins,Baten Kaitos Origins,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/0F2UQI/baten-kaitos-origins.
baten_kaitos_eternal_wings_and_the_lost_ocean,Baten Kaitos: Eternal Wings and the Lost Ocean,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/jGP7s5/baten-kaitos-eternal-wings-and-the-lost-ocean.
batman_arkham_asylum,Batman: Arkham Asylum,,,,,,,,,,,,Imported from GG App export on 2026-04-08. Metadata pending enrichment. Source: https://ggapp.io/games/6kI1K3/batman-arkham-asylum.
bayonetta,Bayonetta,Bayonetta,stylish_action,character_action,medium,high,high,high,medium,high,low,fast,"A stylish action game built around expressive combat mastery, outrageous spectacle, and strong mechanical scoring focus."
bayonetta_2,Bayonetta 2,Bayonetta,stylish_action,character_action,medium,high,high,high,medium,high,low,fast,"A smoother, more accessible sequel with more spectacle and variety, but still primarily driven by stylish combat appeal."
bayonetta_3,Bayonetta 3,Bayonetta,stylish_action,character_action,medium,high,high,high,medium,high,low,fast,"A bigger, flashier sequel with high spectacle, multiple gimmicks, and the same core demand for stylish action buy-in."
blasphemous,Blasphemous,Blasphemous,metroidvania,action_platforming_soulslike,medium,medium,medium,high,high,high,medium,medium,A dark and stylish action-metroidvania with strong atmosphere and harsher combat friction.
blasphemous_2,Blasphemous 2,Blasphemous,metroidvania,action_platforming_metroidvania,medium,high,high,high,high,high,low,fast,A more fluid sequel that keeps the strong atmosphere while smoothing the progression loop.
bloodstained_ritual_of_the_night,Bloodstained: Ritual of the Night,Bloodstained,metroidvania,action_platforming_metroidvania,medium,high,high,high,medium,high,low,fast,"A modern Igavania built around castle exploration, gear and ability progression, and a familiar Castlevania-like loop."
blue_dragon,Blue Dragon,Blue Dragon,jrpg,traditional_turn_based,medium,high,medium,high,medium,medium,low,medium,"A bright traditional JRPG with Akira Toriyama style, straightforward progression, and lighter tone than darker story-heavy RPGs."
bravely_default,Bravely Default,Bravely,jrpg,turn_based_brave_default,high,high,medium,high,high,high,medium,medium,"A 3DS JRPG with strong worldbuilding, major twists, and deep job systems, but notable late-game repetition and meaningful difficulty spikes."
bravely_second,Bravely Second,Bravely,jrpg,turn_based_brave_default,medium,high,medium,high,medium,high,medium,medium,A systems-rich sequel focused more on refinement and jobs than on surprise.
breath_of_fire_iv,Breath of Fire IV,Breath of Fire,jrpg,traditional_turn_based,medium,high,medium,high,medium,medium,low,medium,A classic PS1 JRPG with strong visual identity and an accessible adventure structure.
broken_age,Broken Age,Standalone,point_and_click_adventure,puzzle_adventure,medium,medium,medium,high,medium,low,low,medium,"A storybook point-and-click adventure focused on charm, puzzles, and character-driven presentation."
captain_toad_treasure_tracker,Captain Toad: Treasure Tracker,Captain Toad,puzzle_platformer,compact_puzzle_platforming,medium,high,high,high,medium,low,low,fast,"A charming puzzle-platformer with clean structure, low friction, and high replayability."
