review_priority,review_lane,group_key,candidate_rank,game_id,title,release_year,source_type,source_ref,has_stable_catalog_id,has_edition_keyword,platform_count,tag_count,alias_count,has_cover,proposed_action,recommended_action,winner_game_id,recommended_winner_game_id,review_instruction
20,preserve_edition_review,brokenagethecompleteadventure,1,broken_age_the_complete_adventure,Broken Age: The Complete Adventure,0,finder,ggapp:UzbSNR,t,t,0,5,0,t,needs_review,needs_review,,broken_age_the_complete_adventure,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,brokenagethecompleteadventure,2,wiki_broken_age_the_complete_adventure,Broken Age: The Complete Adventure,2015,finder,wikipedia:Broken Age: The Complete Adventure,f,t,2,1,0,t,needs_review,needs_review,,broken_age_the_complete_adventure,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,burgertimedeluxe,1,wiki_burgertime_deluxe,BurgerTime Deluxe,1991,finder,wikipedia:BurgerTime Deluxe,f,t,1,1,0,f,needs_review,needs_review,,wiki_burgertime_deluxe,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,burgertimedeluxe,2,rawg_burger_time_deluxe,Burger Time Deluxe,2011,finder,rawg:27096,f,t,1,0,0,t,needs_review,needs_review,,wiki_burgertime_deluxe,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,darksoulsremastered,1,dark_souls_remastered,DARK SOULS™: REMASTERED,0,finder,ggapp:8mVt4z,t,t,0,10,0,t,needs_review,needs_review,,dark_souls_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,darksoulsremastered,2,rawg_dark_souls_remastered,Dark Souls: Remastered,2018,finder,rawg:51610,f,t,11,15,0,t,needs_review,needs_review,,dark_souls_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,darksoulsremastered,3,steam_570940_dark_soulstm_remastered,DARK SOULS™: REMASTERED,2018,finder,steam:570940,f,t,1,5,0,t,needs_review,needs_review,,dark_souls_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,dayofthetentacleremastered,1,day_of_the_tentacle_remastered,Day of the Tentacle Remastered,0,finder,ggapp:3QUrd5,t,t,0,5,0,t,needs_review,needs_review,,day_of_the_tentacle_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,dayofthetentacleremastered,2,steam_388210_day_of_the_tentacle_remastered,Day of the Tentacle Remastered,2016,finder,steam:388210,f,t,2,6,0,t,needs_review,needs_review,,day_of_the_tentacle_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,deusexhumanrevolutiondirectorscut,1,steam_238010_deus_ex_human_revolution_director_s_cut,Deus Ex: Human Revolution - Director's Cut,2013,finder,steam:238010,f,t,3,6,0,t,needs_review,needs_review,,steam_238010_deus_ex_human_revolution_director_s_cut,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
