opinion_id,game_id,title,status,hours_played,overall_score,story_score,progression_score,hook_score,aesthetic_score,emotional_complexity_score,combat_depth_score,endgame_repetition_penalty,pacing_score,narrative_payoff_score,confidence,notes,last_updated
O001,final_fantasy_vii_original,Final Fantasy VII,completed,,5,5,4,4,5,5,3,2,4,5,medium,"User explicitly liked it; sub-scores beyond overall are inferred from the stated taste profile.",2026-03-30
O002,final_fantasy_xv,Final Fantasy XV,completed,,3,3,3,4,5,4,2,4,3,4,high,"Liked the lore and aesthetic, but the combat felt simple and the hunts/endgame were not appealing.",2026-03-30
O003,final_fantasy_x,Final Fantasy X,bounced,,1,,,1,,,,,1,,high,"Did not appeal; current evidence points mostly to pacing and presentation mismatch.",2026-03-30
O004,nier_automata,NieR: Automata,on_hold,,,,2,4,,,,,,,high,"Started it but left it pending because the early phase was hard to understand.",2026-03-30
O005,daxter,Daxter,completed,,4,2,5,5,4,2,3,2,5,3,medium,"User liked it a lot on PSP; likely for its fast hook, clear mission structure, humor, and polished portable pacing more than for narrative depth.",2026-03-30
O006,the_world_ends_with_you,The World Ends With You,completed,,5,5,5,4,5,5,4,2,4,5,high,"User liked it a lot on DS; very strong fit around style, character growth, emotional payoff, and distinctive progression systems.",2026-03-30
O007,the_banner_saga_trilogy,The Banner Saga Trilogy,completed,,5,5,4,4,5,5,4,4,3,5,high,"User loved the trilogy on Switch but used cheats for money to avoid grind, suggesting the narrative, atmosphere, and tragic cast outweighed friction in the economy or repetition.",2026-03-30
O008,ico,ICO,completed,,4,5,2,2,5,4,1,1,2,5,high,"User liked the concept and the accompanied journey a lot, loved the ending, but had to rely heavily on guides and felt the gameplay was not very optimized.",2026-03-30
O009,shadow_of_the_colossus,Shadow of the Colossus,completed,,5,4,4,4,5,5,3,1,4,5,high,"User completed it twice on PS2, which strongly suggests a standout fit around atmosphere, scale, melancholy, and payoff.",2026-03-30
O010,kingdom_hearts,Kingdom Hearts,completed,,4,4,4,3,4,3,3,2,3,4,medium,"User liked the first game; current sub-scores are inferred conservatively because the stronger opinion was reserved for Kingdom Hearts II.",2026-03-30
O011,kingdom_hearts_ii,Kingdom Hearts II,completed,,5,4,5,2,5,4,5,2,4,4,high,"User liked it by far the most in the series, though the opening was hard. Strong fit around combat, style, and progression once it starts moving.",2026-03-30
O012,kingdom_hearts_chain_of_memories,Kingdom Hearts: Chain of Memories,completed,,2,3,2,2,3,3,1,5,2,3,medium,"User found it repetitive and did not engage much with the card system, but may have pushed through mainly for the story, including the 3D version.",2026-03-30
